chapter,slug,openstax_pdf,chemillusion_source,chemillusion_source_sha256,chemillusion_available
1,structure-and-bonding,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/structure-and-bonding.json,3075dd5cf003de9f036629407b72e49b458db91ec8c18eac6a7deae8a69d9970,True
2,acids-bases-and-curved-arrows,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/acids-bases-and-curved-arrows.json,328b92020022fd91d6cbf3ea431e7ef64fa36cbd555442e17c5a896d35446d3b,True
3,alkanes-and-stereochemistry,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/alkanes-and-stereochemistry.json,35693391303bc86c7be29e07ca0485725d0d89131d13f364a3cc3c183fc59e38,True
4,cycloalkanes-and-stereochemistry,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/cycloalkanes-and-stereochemistry.json,d7abcc7048e1d47d6ce2c5f5cda0c1dc5004f89cbeedcc505e85fa4701aab095,True
5,stereochemistry-at-tetrahedral-centers,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/stereochemistry-at-tetrahedral-centers.json,4703fb200031d47a1900bf1d1db6afbfe6e8d4d2058edd0982d7e23417dcb383,True
6,overview-of-organic-reactions,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/overview-of-organic-reactions.json,f946458beb7a7e8b7b707dc954f358b96d79c8fdd649d2c3e555f1bfa3f2219d,True
7,alkenes-structure-and-reactivity,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/alkenes-structure-and-reactivity.json,49652b24fdba958de6b23fbd8f7b0b9906fbfc6511556803b9bbba92be31ded6,True
8,alkenes-reactions-and-synthesis,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/alkenes-reactions-and-synthesis.json,35740f999e55e62b94496508db33f986640e60041fb4d8e00ac2564bea3091d2,True
9,alkynes-organic-synthesis,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/alkynes-organic-synthesis.json,ef948ea419fcf3a17a3f7058b74484784619b10d105ae84960ae98d81957a6ca,True
10,organohalides,/tmp/openstax-organic-chemistry-current.pdf,frontend/public/reader/topic-chapters/organohalides.json,99c987893b2e0ad47c609617997884d77c655b4e07524e22aff95bd012dce191,True
