chapter,source,category,count
1,ChemIllusion,atomic_orbital,1
1,ChemIllusion,callout,12
1,ChemIllusion,data_table,3
1,ChemIllusion,molecular_geometry,1
1,ChemIllusion,molecular_structure,4
1,OpenStax,atomic_orbital,12
1,OpenStax,data_table,4
1,OpenStax,energy_diagram,2
1,OpenStax,molecular_structure,2
1,OpenStax,other,3
1,OpenStax,reaction_mechanism,1
2,ChemIllusion,callout,22
2,ChemIllusion,data_table,4
2,ChemIllusion,image,3
2,ChemIllusion,molecular_structure,2
2,ChemIllusion,reaction_mechanism,3
2,OpenStax,data_table,3
2,OpenStax,molecular_property_model,4
2,OpenStax,other,4
2,OpenStax,reaction_mechanism,1
3,ChemIllusion,callout,12
3,ChemIllusion,image,1
3,ChemIllusion,molecular_geometry,3
3,ChemIllusion,molecular_structure,8
3,ChemIllusion,teaching_asset,1
3,OpenStax,data_table,5
3,OpenStax,energy_diagram,2
3,OpenStax,molecular_geometry,3
3,OpenStax,molecular_property_model,1
3,OpenStax,molecular_structure,1
3,OpenStax,other,5
4,ChemIllusion,callout,12
4,ChemIllusion,image,1
4,ChemIllusion,molecular_geometry,7
4,ChemIllusion,molecular_structure,6
4,ChemIllusion,teaching_asset,1
4,OpenStax,data_table,2
4,OpenStax,molecular_geometry,14
4,OpenStax,other,6
5,ChemIllusion,callout,14
5,ChemIllusion,data_table,2
5,ChemIllusion,image,1
5,ChemIllusion,molecular_structure,11
5,OpenStax,data_table,3
5,OpenStax,molecular_geometry,1
5,OpenStax,molecular_structure,8
5,OpenStax,other,7
5,OpenStax,reaction_mechanism,2
6,ChemIllusion,atomic_orbital,2
6,ChemIllusion,callout,12
6,ChemIllusion,data_table,2
6,ChemIllusion,energy_diagram,2
6,ChemIllusion,molecular_structure,6
6,ChemIllusion,reaction,1
6,ChemIllusion,reaction_mechanism,2
6,OpenStax,biological_context,2
6,OpenStax,data_table,4
6,OpenStax,molecular_property_model,2
6,OpenStax,molecular_structure,1
6,OpenStax,other,2
6,OpenStax,reaction_mechanism,4
7,ChemIllusion,callout,12
7,ChemIllusion,molecular_structure,6
7,ChemIllusion,teaching_asset,1
7,OpenStax,atomic_orbital,4
7,OpenStax,biological_context,1
7,OpenStax,data_table,2
7,OpenStax,molecular_structure,1
7,OpenStax,other,12
8,ChemIllusion,callout,12
8,ChemIllusion,energy_diagram,1
8,ChemIllusion,image,3
8,ChemIllusion,molecular_structure,12
8,ChemIllusion,reaction_mechanism,6
8,OpenStax,atomic_orbital,1
8,OpenStax,biological_context,2
8,OpenStax,data_table,1
8,OpenStax,other,4
8,OpenStax,reaction_mechanism,8
9,ChemIllusion,atomic_orbital,2
9,ChemIllusion,callout,14
9,ChemIllusion,molecular_geometry,3
9,ChemIllusion,molecular_structure,13
9,ChemIllusion,reaction,1
9,OpenStax,atomic_orbital,2
9,OpenStax,biological_context,1
9,OpenStax,data_table,1
9,OpenStax,molecular_property_model,1
9,OpenStax,other,1
9,OpenStax,reaction_mechanism,3
10,ChemIllusion,callout,14
10,ChemIllusion,molecular_structure,11
10,ChemIllusion,reaction,3
10,OpenStax,atomic_orbital,1
10,OpenStax,data_table,1
10,OpenStax,other,5
10,OpenStax,reaction_mechanism,2
11,ChemIllusion,callout,16
11,ChemIllusion,data_table,2
11,ChemIllusion,molecular_structure,6
11,ChemIllusion,reaction_mechanism,6
11,OpenStax,data_table,1
11,OpenStax,molecular_property_model,1
11,OpenStax,molecular_structure,1
11,OpenStax,other,10
11,OpenStax,reaction_mechanism,11
12,ChemIllusion,callout,12
12,ChemIllusion,data_table,1
12,ChemIllusion,molecular_structure,8
12,ChemIllusion,reaction,1
12,OpenStax,data_table,1
12,OpenStax,molecular_structure,3
12,OpenStax,other,27
13,ChemIllusion,callout,16
13,ChemIllusion,data_table,1
13,ChemIllusion,image,1
13,ChemIllusion,molecular_structure,12
13,ChemIllusion,teaching_asset,3
13,OpenStax,atomic_orbital,2
13,OpenStax,biological_context,1
13,OpenStax,data_table,4
13,OpenStax,molecular_structure,3
13,OpenStax,other,17
14,ChemIllusion,atomic_orbital,5
14,ChemIllusion,callout,14
14,ChemIllusion,data_table,4
14,ChemIllusion,molecular_structure,7
14,OpenStax,atomic_orbital,4
14,OpenStax,data_table,2
14,OpenStax,molecular_geometry,1
14,OpenStax,molecular_property_model,1
14,OpenStax,molecular_structure,1
14,OpenStax,other,7
14,OpenStax,reaction_mechanism,2
15,ChemIllusion,atomic_orbital,7
15,ChemIllusion,callout,16
15,ChemIllusion,data_table,3
15,ChemIllusion,energy_diagram,1
15,ChemIllusion,image,1
15,ChemIllusion,molecular_structure,11
15,OpenStax,atomic_orbital,7
15,OpenStax,biological_context,1
15,OpenStax,data_table,1
15,OpenStax,other,9
16,ChemIllusion,atomic_orbital,2
16,ChemIllusion,callout,16
16,ChemIllusion,data_table,4
16,ChemIllusion,energy_diagram,1
16,ChemIllusion,molecular_structure,13
16,ChemIllusion,reaction,10
16,ChemIllusion,reaction_mechanism,2
16,OpenStax,atomic_orbital,2
16,OpenStax,data_table,2
16,OpenStax,molecular_property_model,1
16,OpenStax,other,12
16,OpenStax,reaction_mechanism,8
17,ChemIllusion,callout,20
17,ChemIllusion,molecular_structure,7
17,ChemIllusion,reaction,6
17,OpenStax,biological_context,1
17,OpenStax,data_table,1
17,OpenStax,molecular_property_model,2
17,OpenStax,molecular_structure,1
17,OpenStax,other,9
17,OpenStax,reaction_mechanism,3
18,ChemIllusion,callout,18
18,ChemIllusion,data_table,2
18,ChemIllusion,energy_diagram,1
18,ChemIllusion,molecular_geometry,2
18,ChemIllusion,molecular_structure,19
18,ChemIllusion,reaction,8
18,OpenStax,data_table,2
18,OpenStax,molecular_structure,1
18,OpenStax,other,7
18,OpenStax,reaction_mechanism,4
19,ChemIllusion,atomic_orbital,1
19,ChemIllusion,callout,22
19,ChemIllusion,data_table,1
19,ChemIllusion,molecular_structure,11
19,ChemIllusion,reaction,19
19,ChemIllusion,reaction_mechanism,1
19,OpenStax,atomic_orbital,1
19,OpenStax,data_table,2
19,OpenStax,molecular_structure,1
19,OpenStax,other,7
19,OpenStax,reaction_mechanism,9
20,ChemIllusion,callout,20
20,ChemIllusion,data_table,1
20,ChemIllusion,molecular_structure,18
20,ChemIllusion,reaction,4
20,ChemIllusion,teaching_asset,1
20,OpenStax,data_table,4
20,OpenStax,molecular_structure,1
20,OpenStax,other,7
20,OpenStax,reaction_mechanism,1
21,ChemIllusion,atomic_orbital,3
21,ChemIllusion,callout,22
21,ChemIllusion,data_table,1
21,ChemIllusion,energy_diagram,1
21,ChemIllusion,molecular_structure,22
21,ChemIllusion,reaction,12
21,ChemIllusion,reaction_mechanism,1
21,OpenStax,data_table,4
21,OpenStax,other,5
21,OpenStax,reaction_mechanism,6
22,ChemIllusion,callout,20
22,ChemIllusion,data_table,2
22,ChemIllusion,molecular_structure,18
22,ChemIllusion,reaction,7
22,ChemIllusion,reaction_mechanism,4
22,ChemIllusion,teaching_asset,2
22,OpenStax,biological_context,1
22,OpenStax,data_table,1
22,OpenStax,other,2
22,OpenStax,reaction_mechanism,6
23,ChemIllusion,callout,20
23,ChemIllusion,data_table,2
23,ChemIllusion,molecular_structure,19
23,ChemIllusion,reaction,8
23,ChemIllusion,reaction_mechanism,6
23,OpenStax,atomic_orbital,1
23,OpenStax,data_table,1
23,OpenStax,molecular_structure,2
23,OpenStax,other,2
23,OpenStax,reaction_mechanism,5
24,ChemIllusion,atomic_orbital,1
24,ChemIllusion,callout,20
24,ChemIllusion,data_table,3
24,ChemIllusion,molecular_structure,25
24,ChemIllusion,reaction,4
24,ChemIllusion,reaction_mechanism,3
24,OpenStax,data_table,2
24,OpenStax,other,9
24,OpenStax,reaction_mechanism,2
25,ChemIllusion,callout,20
25,ChemIllusion,molecular_geometry,2
25,ChemIllusion,molecular_structure,28
25,ChemIllusion,reaction_mechanism,2
25,OpenStax,biological_context,1
25,OpenStax,data_table,1
25,OpenStax,molecular_structure,2
25,OpenStax,other,9
25,OpenStax,reaction_mechanism,1
26,ChemIllusion,callout,20
26,ChemIllusion,data_table,3
26,ChemIllusion,image,8
26,ChemIllusion,molecular_structure,30
26,OpenStax,biological_context,3
26,OpenStax,data_table,3
26,OpenStax,molecular_structure,4
26,OpenStax,other,3
26,OpenStax,reaction_mechanism,3
27,ChemIllusion,callout,20
27,ChemIllusion,data_table,2
27,ChemIllusion,image,1
