chapter,source,visual_asset_count
1,ChemIllusion,21
1,OpenStax,24
2,ChemIllusion,34
2,OpenStax,12
3,ChemIllusion,25
3,OpenStax,17
4,ChemIllusion,27
4,OpenStax,22
5,ChemIllusion,28
5,OpenStax,21
6,ChemIllusion,27
6,OpenStax,15
7,ChemIllusion,19
7,OpenStax,20
8,ChemIllusion,34
8,OpenStax,16
9,ChemIllusion,33
9,OpenStax,9
10,ChemIllusion,28
10,OpenStax,9
11,ChemIllusion,30
11,OpenStax,24
12,ChemIllusion,22
12,OpenStax,31
13,ChemIllusion,33
13,OpenStax,27
14,ChemIllusion,30
14,OpenStax,18
15,ChemIllusion,39
15,OpenStax,18
16,ChemIllusion,48
16,OpenStax,25
17,ChemIllusion,33
17,OpenStax,17
18,ChemIllusion,50
18,OpenStax,14
19,ChemIllusion,55
19,OpenStax,20
20,ChemIllusion,44
20,OpenStax,13
21,ChemIllusion,62
21,OpenStax,15
22,ChemIllusion,53
22,OpenStax,10
23,ChemIllusion,55
23,OpenStax,11
24,ChemIllusion,56
24,OpenStax,13
25,ChemIllusion,52
25,OpenStax,14
26,ChemIllusion,61
26,OpenStax,16
27,ChemIllusion,59
27,OpenStax,20
28,ChemIllusion,49
28,OpenStax,11
29,ChemIllusion,64
29,OpenStax,18
30,ChemIllusion,58
30,OpenStax,21
31,ChemIllusion,65
31,OpenStax,10
