chapter,chemillusion_unique_molecules,identical_molecules_named_in_openstax,chemillusion_molecule_overlap_fraction
1,5,4,0.8
2,2,1,0.5
3,9,8,0.8888888888888888
4,7,7,1.0
5,12,1,0.08333333333333333
6,8,0,0.0
7,6,3,0.5
8,11,0,0.0
9,14,0,0.0
10,11,0,0.0
11,13,0,0.0
12,9,0,0.0
13,12,1,0.08333333333333333
14,12,2,0.16666666666666666
15,19,0,0.0
16,19,5,0.2631578947368421
17,6,1,0.16666666666666666
18,21,10,0.47619047619047616
19,13,0,0.0
20,18,2,0.1111111111111111
21,22,0,0.0
22,21,1,0.047619047619047616
23,24,0,0.0
24,25,0,0.0
25,30,5,0.16666666666666666
26,32,0,0.0
27,32,14,0.4375
28,19,0,0.0
29,8,3,0.375
30,21,9,0.42857142857142855
31,21,12,0.5714285714285714
