chapter,n,chemillusion_unique_ngrams,openstax_unique_ngrams,common_unique_ngrams,jaccard,chemillusion_ngram_coverage,openstax_ngram_coverage
1,5,1692,6686,11,0.0013146886578223975,0.0065011820330969266,0.001645228836374514
1,8,1694,6824,1,0.00011741223435481978,0.0005903187721369539,0.00014654161781946072
1,12,1691,6840,0,0.0,0.0,0.0
1,16,1687,6836,0,0.0,0.0,0.0
1,20,1683,6832,0,0.0,0.0,0.0
2,5,2881,7259,9,0.0008883624518803672,0.0031239153071850054,0.0012398401983744318
2,8,2891,7455,1,9.666505558240696e-05,0.0003459010722933241,0.0001341381623071764
2,12,2887,7485,0,0.0,0.0,0.0
2,16,2883,7489,0,0.0,0.0,0.0
2,20,2879,7488,0,0.0,0.0,0.0
3,5,1543,5770,20,0.002742355683532154,0.012961762799740765,0.0034662045060658577
3,8,1544,5847,2,0.0002706726214643389,0.0012953367875647669,0.0003420557550880794
3,12,1540,5852,0,0.0,0.0,0.0
3,16,1536,5852,0,0.0,0.0,0.0
3,20,1532,5849,0,0.0,0.0,0.0
4,5,1868,5181,8,0.001136202243999432,0.004282655246252677,0.0015441034549314803
4,8,1869,5324,0,0.0,0.0,0.0
4,12,1865,5346,0,0.0,0.0,0.0
4,16,1861,5346,0,0.0,0.0,0.0
4,20,1857,5346,0,0.0,0.0,0.0
5,5,2524,7054,19,0.001987655612511769,0.007527733755942948,0.0026935072299404594
5,8,2542,7225,1,0.00010239606799098914,0.0003933910306845004,0.0001384083044982699
5,12,2538,7264,0,0.0,0.0,0.0
5,16,2534,7275,0,0.0,0.0,0.0
5,20,2530,7280,0,0.0,0.0,0.0
6,5,1697,7985,7,0.0007235142118863049,0.0041249263406010605,0.0008766437069505323
6,8,1697,8195,0,0.0,0.0,0.0
6,12,1693,8258,0,0.0,0.0,0.0
6,16,1689,8264,0,0.0,0.0,0.0
6,20,1685,8260,0,0.0,0.0,0.0
7,5,1123,6498,11,0.0014454664914586072,0.009795191451469279,0.001692828562634657
7,8,1126,6655,1,0.00012853470437017994,0.0008880994671403197,0.00015026296018031557
7,12,1122,6696,0,0.0,0.0,0.0
7,16,1118,6693,0,0.0,0.0,0.0
7,20,1114,6689,0,0.0,0.0,0.0
8,5,1298,7359,12,0.0013880855986119144,0.009244992295839754,0.0016306563391765185
8,8,1305,7531,1,0.00011318619128466328,0.0007662835249042146,0.0001327844907714779
8,12,1302,7582,0,0.0,0.0,0.0
8,16,1298,7585,0,0.0,0.0,0.0
8,20,1294,7581,0,0.0,0.0,0.0
9,5,2626,4255,9,0.001309662398137369,0.003427265803503427,0.0021151586368977674
9,8,2636,4343,0,0.0,0.0,0.0
9,12,2636,4354,0,0.0,0.0,0.0
9,16,2632,4354,0,0.0,0.0,0.0
9,20,2628,4354,0,0.0,0.0,0.0
10,5,2772,4391,5,0.0006985191394244202,0.0018037518037518038,0.0011386927806877705
10,8,2780,4487,0,0.0,0.0,0.0
10,12,2776,4504,0,0.0,0.0,0.0
10,16,2772,4503,0,0.0,0.0,0.0
10,20,2768,4499,0,0.0,0.0,0.0
11,5,2441,8192,13,0.001224105461393597,0.005325686194182712,0.0015869140625
11,8,2461,8458,1,9.159186664224217e-05,0.0004063388866314506,0.00011823126034523528
11,12,2458,8521,0,0.0,0.0,0.0
11,16,2454,8536,0,0.0,0.0,0.0
11,20,2450,8535,0,0.0,0.0,0.0
12,5,2224,6599,17,0.0019305019305019305,0.007643884892086331,0.002576147901197151
12,8,2229,6723,5,0.0005588465407399128,0.0022431583669807087,0.0007437156031533541
12,12,2226,6748,0,0.0,0.0,0.0
12,16,2222,6747,0,0.0,0.0,0.0
12,20,2218,6743,0,0.0,0.0,0.0
13,5,3725,7674,15,0.0013176387912860155,0.004026845637583893,0.001954652071931196
13,8,3740,7847,0,0.0,0.0,0.0
13,12,3737,7872,0,0.0,0.0,0.0
13,16,3733,7872,0,0.0,0.0,0.0
13,20,3729,7868,0,0.0,0.0,0.0
14,5,2710,5650,20,0.002398081534772182,0.007380073800738007,0.0035398230088495575
14,8,2716,5783,1,0.00011767474699929395,0.0003681885125184094,0.00017292062943109114
14,12,2712,5811,0,0.0,0.0,0.0
14,16,2708,5811,0,0.0,0.0,0.0
14,20,2704,5811,0,0.0,0.0,0.0
15,5,3859,5116,18,0.002009601429049905,0.00466442083441306,0.003518373729476153
15,8,3894,5197,0,0.0,0.0,0.0
15,12,3900,5217,0,0.0,0.0,0.0
15,16,3900,5213,0,0.0,0.0,0.0
15,20,3898,5209,0,0.0,0.0,0.0
16,5,3084,7810,14,0.001286764705882353,0.004539559014267186,0.001792573623559539
16,8,3092,8012,1,9.006574799603711e-05,0.0003234152652005175,0.00012481278082875687
16,12,3088,8057,0,0.0,0.0,0.0
16,16,3084,8067,0,0.0,0.0,0.0
16,20,3080,8071,0,0.0,0.0,0.0
17,5,2017,6872,2,0.00022504782266231574,0.0009915716410510659,0.0002910360884749709
17,8,2015,6998,0,0.0,0.0,0.0
17,12,2011,7023,0,0.0,0.0,0.0
17,16,2007,7034,0,0.0,0.0,0.0
17,20,2003,7030,0,0.0,0.0,0.0
18,5,3009,4315,22,0.0030128731854286495,0.007311399135925557,0.0050984936268829665
18,8,3009,4397,4,0.0005403944879762226,0.0013293452974410102,0.0009097111667045713
18,12,3005,4401,0,0.0,0.0,0.0
18,16,3001,4398,0,0.0,0.0,0.0
18,20,2997,4394,0,0.0,0.0,0.0
19,5,3688,7496,15,0.0013430029546065002,0.004067245119305857,0.002001067235859125
19,8,3693,7702,0,0.0,0.0,0.0
19,12,3689,7758,0,0.0,0.0,0.0
19,16,3685,7757,0,0.0,0.0,0.0
19,20,3681,7753,0,0.0,0.0,0.0
20,5,3894,4986,19,0.0021442275138246246,0.004879301489470981,0.003810669875651825
20,8,3902,5052,5,0.0005587216448765225,0.0012813941568426447,0.0009897070467141725
20,12,3898,5056,1,0.00011169440411035407,0.0002565418163160595,0.00019778481012658228
20,16,3894,5052,0,0.0,0.0,0.0
20,20,3890,5048,0,0.0,0.0,0.0
21,5,3732,7760,7,0.000609490639965172,0.0018756698821007502,0.0009020618556701031
21,8,3745,8005,0,0.0,0.0,0.0
21,12,3743,8025,0,0.0,0.0,0.0
21,16,3739,8023,0,0.0,0.0,0.0
21,20,3735,8019,0,0.0,0.0,0.0
22,5,3314,4040,7,0.0009527698380291275,0.002112251056125528,0.0017326732673267327
22,8,3313,4099,0,0.0,0.0,0.0
22,12,3309,4115,0,0.0,0.0,0.0
22,16,3305,4113,0,0.0,0.0,0.0
22,20,3301,4109,0,0.0,0.0,0.0
23,5,5482,4973,5,0.0004784688995215311,0.0009120758847136082,0.0010054293183189222
23,8,5534,5119,0,0.0,0.0,0.0
23,12,5535,5151,0,0.0,0.0,0.0
23,16,5535,5151,0,0.0,0.0,0.0
23,20,5532,5147,0,0.0,0.0,0.0
24,5,6276,7634,5,0.0003595828838547285,0.0007966857871255577,0.0006549646319098768
24,8,6290,7723,0,0.0,0.0,0.0
24,12,6286,7726,0,0.0,0.0,0.0
24,16,6282,7722,0,0.0,0.0,0.0
24,20,6278,7718,0,0.0,0.0,0.0
25,5,7521,6992,14,0.0009655838333678184,0.0018614545938040155,0.002002288329519451
25,8,7555,7158,0,0.0,0.0,0.0
25,12,7554,7189,0,0.0,0.0,0.0
25,16,7550,7187,0,0.0,0.0,0.0
25,20,7546,7183,0,0.0,0.0,0.0
26,5,10955,7438,21,0.0011430437622468974,0.0019169329073482429,0.00282333960742135
26,8,11008,7560,0,0.0,0.0,0.0
26,12,11012,7590,0,0.0,0.0,0.0
26,16,11008,7588,0,0.0,0.0,0.0
26,20,11004,7584,0,0.0,0.0,0.0
27,5,7836,5448,9,0.0006779661016949153,0.0011485451761102604,0.0016519823788546256
27,8,7870,5494,0,0.0,0.0,0.0
27,12,7866,5491,0,0.0,0.0,0.0
27,16,7862,5487,0,0.0,0.0,0.0
27,20,7858,5483,0,0.0,0.0,0.0
28,5,7670,5099,4,0.0003133568350959655,0.0005215123859191656,0.0007844675426554226
28,8,7690,5161,0,0.0,0.0,0.0
28,12,7686,5177,0,0.0,0.0,0.0
28,16,7682,5178,0,0.0,0.0,0.0
28,20,7678,5174,0,0.0,0.0,0.0
29,5,4398,8943,6,0.0004499437570303712,0.001364256480218281,0.0006709158000670916
29,8,4423,9174,0,0.0,0.0,0.0
29,12,4429,9208,0,0.0,0.0,0.0
29,16,4428,9217,0,0.0,0.0,0.0
29,20,4424,9214,0,0.0,0.0,0.0
30,5,9297,3861,19,0.0014460765659487023,0.0020436700010756158,0.004921004921004921
30,8,9384,3990,0,0.0,0.0,0.0
30,12,9388,4007,0,0.0,0.0,0.0
30,16,9384,4012,0,0.0,0.0,0.0
30,20,9380,4014,0,0.0,0.0,0.0
31,5,6854,3882,3,0.00027951178608031307,0.0004377006127808579,0.0007727975270479134
31,8,6871,3916,0,0.0,0.0,0.0
31,12,6870,3922,0,0.0,0.0,0.0
31,16,6866,3919,0,0.0,0.0,0.0
31,20,6862,3915,0,0.0,0.0,0.0
