chapter,chemillusion_words,openstax_words,longest_exact_run_words,matching_blocks_at_or_above_minimum,minimum_match_block_words,chemillusion_token_coverage_in_long_blocks
1,1702,6851,8,1,8,0.004700352526439483
2,2898,7507,8,1,8,0.0027605244996549345
3,1551,5868,8,2,8,0.010315925209542231
4,1876,5365,7,0,8,0.0
5,2549,7300,8,1,8,0.003138485680659082
6,1704,8279,6,0,8,0.0
7,1133,6708,8,1,8,0.00706090026478376
8,1313,7600,8,1,8,0.006092916984006093
9,2647,4381,7,0,8,0.0
10,2787,4518,7,0,8,0.0
11,2469,8554,8,1,8,0.0032401782098015392
12,2237,6762,9,2,8,0.008046490835940992
13,3748,7887,7,0,8,0.0
14,2723,5830,8,1,8,0.0029379360998898272
15,3917,5228,7,0,8,0.0
16,3099,8090,8,1,8,0.0025814778960955146
17,2022,7049,5,0,8,0.0
18,3016,4413,10,2,8,0.005968169761273209
19,3700,7772,7,0,8,0.0
20,3909,5067,12,1,8,0.0030698388334612432
21,3754,8038,6,0,8,0.0
22,3320,4128,7,0,8,0.0
23,5551,5166,5,0,8,0.0
24,6297,7737,6,0,8,0.0
25,7565,7202,6,0,8,0.0
26,11023,7603,7,0,8,0.0
27,7877,5502,7,0,8,0.0
28,7697,5193,7,0,8,0.0
29,4443,9233,6,0,8,0.0
30,9399,4034,7,0,8,0.0
31,6881,3934,7,0,8,0.0
